# nameCn	nameKr	status	note
埃尼亚斯之盔	아이니아스의 투구	confirmed
大地之盔	대지의 투구	confirmed
领袖之盔	지도자의 투구	confirmed
吸血鬼假面	흡혈귀 가면	confirmed
死神的呼吸	사신의 호흡	confirmed
原质头盔	태초의 투구	confirmed
暮色头盔	노을 투구	confirmed
突击头饰	돌격 투구	confirmed
王者之冠	제왕의 관	confirmed
洛基的假面	로키의 가면	confirmed
耶梦加得之眼	요르문간드의 눈	confirmed
尼约德的羽冠	뇨르드의 깃털관	confirmed
天女头饰	천녀의 티아라	confirmed
暗之法冠	어둠의 법모	confirmed
光辉头饰	빛의 서클렛	confirmed
摄魂法帽	섭혼의 법모	confirmed
冥府渡神	카론의 모자	confirmed
奥丁的宽檐帽	오딘의 모자	confirmed
林原禁盔	숲의 투구	confirmed
宵影羽盔	밤 그림자의 투구	confirmed
冥澜之怒	어둠의 분노	confirmed
里格重盔	리그의 중갑 투구	confirmed
提尔之怒	티르의 분노	confirmed
夜之枭影	밤의 올빼미	confirmed
晴雪绒帽	눈설탕 모자	confirmed
魔龙的凝视	마룡의 응시	confirmed
苍白天启	창백한 묵시록	confirmed
猎魔礼帽	마물 헌터캡	confirmed
星绛之幕	별의 장막	confirmed
森罗冕冠	삼라의 왕관	confirmed
感电头饰	감전 서클렛	confirmed
最终保暖兵器	최종 보온 병기	confirmed
尘世之光	속세의 빛	confirmed
霜火之冠	서리 불꽃의 서클렛	confirmed
魔女的追想	마녀의 추억	confirmed
驯鹿礼帽	세계수의 왕관	confirmed
心视荣盔	심안의 투구	confirmed
人鱼的传说	인어의 전설	confirmed
亘古的呼唤	영겁의 부름	confirmed
鲜花礼帽	꽃모자	confirmed
暮色蝶梦	붉은 나비의 꿈	confirmed
勇者的手工课	위대한 왕의 증표	confirmed	owner=올리버
热砂熔岚	뜨거운 모래바람	confirmed	owner=로스탐
藏锋暗面	도사리는 어둠	confirmed	owner=시엔
枭魔魁首	악마 우두머리	confirmed	owner=웨탐
圣女礼赞	성녀 찬가	confirmed	owner=크리스
灵息法相	영혼이 깃든 법상	confirmed	owner=오보로
驭龙之冠	드래곤 크레스트	confirmed	owner=레나타
银风的裁断	은빛 바람의 망토	confirmed	owner=베르너 폰 에길
飞隐星兜	숨겨진 별의 투구	confirmed	owner=츠바메
星舰的决意	우주전함의 결의	confirmed	owner=크림조의 집정관
风袭羽冠	하늘을 누비는 여신	confirmed	owner=루나
卡尔萨斯战盔	칼자스의 군신	confirmed	owner=클라렛
我执	아집	confirmed	owner=오메가
游灵之首	유령 대장	confirmed	owner=리사
自警团之盔	자경단의 투구	confirmed	owner=아레스
灵视目镜	스피릿 비전 고글	confirmed	owner=토와
魔血的角盔	마혈의 투구	confirmed	owner=리스틸
斩男色	매혹의 립스틱	confirmed	owner=이멜다
卡昆西斯之冠	카콘시스의 왕관	confirmed	owner=셀파닐
我我我公主？	내, 내, 내가 공주라고?	confirmed	owner=헤인
群岛礼纱	섬의 예절	confirmed	owner=비리아
绝末之视	최후의 시선	confirmed	owner=각성자
破晓晨风	새벽 바람	confirmed	owner=제이스
万能工具帽	만능 공구 모자	confirmed	owner=안젤리카
神谕者	신탁을 받은 자	confirmed	owner=환생 제시카
信者的冕冠	신자의 면류관	confirmed	owner=루그너
晶耀洁纱	순백의 면사포	confirmed	owner=로젠실
源载核芯	소스 코어	confirmed	owner=껍질 소녀
累世冥渊	세월의 연못	confirmed	owner=리오벡
煌焰永誓	영원한 불꽃의 맹세	confirmed	owner=클로테르
殷红矢志	검붉은 의지	confirmed	owner=아이언 챈슬러
虔辉礼祝	경건한 축하	confirmed	owner=엘마
琅月清尘	낭월청진	confirmed	owner=아즈사
浴火的极星	타오르는 북극성	confirmed	owner=아사멜
赦罪信冕	면죄의 모자	confirmed	owner=루크레치아
妙想法帽	기발한 모자	confirmed	owner=노에미
浮梦月辉	꿈의 달빛	confirmed	owner=카구야
少女的希冀	소녀의 희망	confirmed	owner=티아리스
悠远的回音	머나먼 메아리	confirmed	owner=구스타프
年幼的君王	어린 왕	confirmed	owner=리코리스
拂晓之冠	여명의 왕관	confirmed	owner=방주의 성녀
星海的提督	은하 제독	confirmed	owner=윌러
帝国的明珠	제국의 보배	confirmed	owner=플로렌티아
圣树的花笑	세계수의 꽃웃음	confirmed	owner=마리안델
唤灵礼帽	초혼의 모자	confirmed	owner=켈티스
古旧系带	낡은 두건	confirmed	owner=세계수의 현자
转生的铭文	전생의 글귀	confirmed	owner=탄생의 빛
心醉之面纱	심취의 베일	confirmed	owner=팟시르
无尽回环	무한한 고리	confirmed	owner=초월자
愚弄者的诡面	사기꾼의 가면	confirmed	owner=사신 크루거
盛绽之环	만개의 월계관	confirmed	owner=뮤
商业头脑	비즈니스 마인드	confirmed	owner=화이트 시시
暗影颅笼	그림자 두개골 투구	provisional-display
花与菇之帽	꽃과 버섯의 모자	provisional-display
冰龙霜冠	빙룡의 서리 왕관	provisional-display	owner=빙설 심연의 지배자
智翼荣冠	지혜의 날개 왕관	provisional-display	owner=레이아
黯羽的复生	암흑 날개의 부활	provisional-display	owner=엘비스
神偶之枷	신의 인형의 족쇄	provisional-display	owner=아브샤이트
灵智纱冠	영력의 비단 왕관	provisional-display	owner=이리아
红色缎带	붉은 리본	duplicate-non-display	duplicateOf=꽃모자
魂·护盾之冠	미확정	unresolved-non-public	이벤트 용 아이템
魂·破碎角盔	미확정	unresolved-non-public	이벤트 용 아이템
魂·陷阵头冠	미확정	unresolved-non-public	이벤트 용 아이템
魂·共鸣头饰	미확정	unresolved-non-public	이벤트 용 아이템
魂·化龙战盔	미확정	unresolved-non-public	이벤트 용 아이템
魂·血族皇冠	미확정	unresolved-non-public	이벤트 용 아이템
